original_sentence,summary,level,FRE,total_words,total_sentences,total_syllables
"But if you give you a different context, then people strongly agree that this is anger. So they have a lot of examples and they run a lot of experiments in using the exact same facial expression in different contexts. And they realize that the context strongly influences the way we perceive emotions. So this is the motivation of one of the projects I'm working on that started here in Barcelona and now I'm still working on it in collaboration with the effective computing group at MIT media lab and the idea behind this project is okay, we know there's a lot of information in the face, that's true, but for developing machines that accurately recognize emotions, we can just rely on the face. We need to understand the context of the person and in particularly we are working in the scene context, in the situation of the person. And the interesting thing of working in this type of context is that suddenly you can say much more about the emotion","Research shows context can change our perception of the same facial expression. This led to a project involving MIT, aiming to develop machines that understand emotions through context",4,60.42,36,4,58
"But if you give you a different context, then people strongly agree that this is anger. So they have a lot of examples and they run a lot of experiments in using the exact same facial expression in different contexts. And they realize that the context strongly influences the way we perceive emotions. So this is the motivation of one of the projects I'm working on that started here in Barcelona and now I'm still working on it in collaboration with the effective computing group at MIT media lab and the idea behind this project is okay, we know there's a lot of information in the face, that's true, but for developing machines that accurately recognize emotions, we can just rely on the face. We need to understand the context of the person and in particularly we are working in the scene context, in the situation of the person. And the interesting thing of working in this type of context is that suddenly you can say much more about the emotion","Context changes emotion perception, as shown through experiments. This inspired a project, now involving MIT, to help machines read emotions by considering context",3,53.01,34,4,54
"But if you give you a different context, then people strongly agree that this is anger. So they have a lot of examples and they run a lot of experiments in using the exact same facial expression in different contexts. And they realize that the context strongly influences the way we perceive emotions. So this is the motivation of one of the projects I'm working on that started here in Barcelona and now I'm still working on it in collaboration with the effective computing group at MIT media lab and the idea behind this project is okay, we know there's a lot of information in the face, that's true, but for developing machines that accurately recognize emotions, we can just rely on the face. We need to understand the context of the person and in particularly we are working in the scene context, in the situation of the person. And the interesting thing of working in this type of context is that suddenly you can say much more about the emotion","Context affects how we see emotions in faces. This started a project with MIT to help machines read emotions by looking at context, especially scene context",2,28.12,32,4,53
"But if you give you a different context, then people strongly agree that this is anger. So they have a lot of examples and they run a lot of experiments in using the exact same facial expression in different contexts. And they realize that the context strongly influences the way we perceive emotions. So this is the motivation of one of the projects I'm working on that started here in Barcelona and now I'm still working on it in collaboration with the effective computing group at MIT media lab and the idea behind this project is okay, we know there's a lot of information in the face, that's true, but for developing machines that accurately recognize emotions, we can just rely on the face. We need to understand the context of the person and in particularly we are working in the scene context, in the situation of the person. And the interesting thing of working in this type of context is that suddenly you can say much more about the emotion",Context changes how we see emotions in faces. A project with MIT was created to help machines understand this. Focus is on scene context,1,16.49,24,3,42
"So maybe with the expression, you can say something about basic emotions, but there are some secondary emotions or social emotions that are very interesting that if you don't see the context, you cannot say anything about them","Facial expressions can show basic emotions, but for complex emotions, context is essential",1,17,18,1,26
"Like here, once you see the context, you might say that this person is feeling confident",Context reveals that this person is feeling confident,2,26,10,1,15
"When you define confidence as feeling of being certain, conviction that an outcome will be favorable, encouraged, or proud",Confidence is the feeling of certainty and belief in a favorable outcome,3,34,12,1,20
So that's the idea of the emotion recognition in context project,This is the aim of the emotion recognition in context project,4,45,11,1,18
"So what we want to do is we want to go from images like this one, so not just relating on the face and looking also at the context of the person, trying to recognize emotions, and for that, so this is a computer vision project",We aim to recognize emotions from facial images and context using a computer vision project,5,51,18,1,29
We know that in computer vision nowadays what is working best is deep learning models,Deep learning models are currently the best in computer vision,6,60,12,1,19
"So maybe with the expression, you can say something about basic emotions, but there are some secondary emotions or social emotions that are very interesting that if you don't see the context, you cannot say anything about them","Expressions show basic emotions, but without context, complex emotions are hard to identify",7,68,16,1,23
"Like here, once you see the context, you might say that this person is feeling confident",Context shows this person is confident,8,80,7,1,12
"When you define confidence as feeling of being certain, conviction that an outcome will be favorable, encouraged, or proud",Confidence means feeling certain and believing in a good outcome,9,88,10,1,15
So that's the idea of the emotion recognition in context project,This is the emotion recognition in context project,10,95,9,1,13
"So our idea was, okay, let's try to model this problem using deep learning. So first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any data set where we could see people in their context. So we were collecting a lot of images. Some of them were manually downloaded from search engines like Google, and other images came from public data sets that were already labeled with the bounding box of the person. And the images we collected are images like the ones that you see here, so people doing different things in very different situations. And what we did is we created annotation interfaces like this one that I'm showing you here","We aimed to model this problem using deep learning, but the initial challenge was the lack of training data, as emotion recognition research mostly focused on faces. We collected images from search engines and public datasets, showing people in various contexts, and created annotation interfaces",1,17.6,46,2,74
"So our idea was, okay, let's try to model this problem using deep learning. So first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any data set where we could see people in their context. So we were collecting a lot of images. Some of them were manually downloaded from search engines like Google, and other images came from public data sets that were already labeled with the bounding box of the person. And the images we collected are images like the ones that you see here, so people doing different things in very different situations. And what we did is we created annotation interfaces like this one that I'm showing you here","We decided to use deep learning to model the problem but faced the challenge of no training data. Emotion recognition research typically focused on faces, so we gathered images from search engines and public datasets and developed annotation interfaces",2,25.3,41,2,64
"So our idea was, okay, let's try to model this problem using deep learning. So first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any data set where we could see people in their context. So we were collecting a lot of images. Some of them were manually downloaded from search engines like Google, and other images came from public data sets that were already labeled with the bounding box of the person. And the images we collected are images like the ones that you see here, so people doing different things in very different situations. And what we did is we created annotation interfaces like this one that I'm showing you here","We tried modeling the problem with deep learning but had no training data. Emotion recognition usually uses faces, so we collected images from search engines and datasets and made annotation interfaces",3,34.7,40,2,59
"So our idea was, okay, let's try to model this problem using deep learning. So first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any data set where we could see people in their context. So we were collecting a lot of images. Some of them were manually downloaded from search engines like Google, and other images came from public data sets that were already labeled with the bounding box of the person. And the images we collected are images like the ones that you see here, so people doing different things in very different situations. And what we did is we created annotation interfaces like this one that I'm showing you here","We aimed to model the problem with deep learning but lacked training data. Emotion research focused on faces, so we gathered images from search engines and datasets and created annotation tools",4,47.3,39,2,53
"So our idea was, okay, let's try to model this problem using deep learning. So the first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any datasets where we could see people in their context. So we were collecting a lot of images. Some of them were manually downloaded from search engines like Google, and other images came from public datasets that were already labeled with the bounding box of the person. And the images we collected are images like the ones that you see here, so people doing different things in very different situations. And what we did is we created annotation interfaces like this one that I'm showing you here",We used deep learning to model the problem but lacked training data. Emotion recognition mainly focused on faces. We collected images from search engines and datasets and made annotation tools,5,55.7,37,2,50
"So our idea was, okay, let's try to model this problem using deep learning. So the first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any datasets where we could see people in their context. So we were collecting a lot of images. Some of them were manually downloaded from search engines like Google, and other images came from public datasets that were already labeled with the bounding box of the person. And the images we collected are images like the ones that you see here, so people doing different things in very different situations. And what we did is we created annotation interfaces like this one that I'm showing you here",We tried to model the problem using deep learning but lacked training data. Emotion research focused on faces. We collected images from search engines and datasets and created annotation interfaces,6,62.5,36,2,45
"So our idea was, okay, let's try to model this problem using deep learning. So the first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any datasets where we could see people in their context. So we were collecting a lot of images. Some of them were manually downloaded from search engines like Google, and other images came from public datasets that were already labeled with the bounding box of the person. And the images we collected are images like the ones that you see here, so people doing different things in very different situations. And what we did is we created annotation interfaces like this one that I'm showing you here","We aimed to model the issue with deep learning but had no training data. Emotion recognition typically focused on faces, so we collected context-rich images from search engines and datasets and created annotation interfaces",7,73.5,38,2,48
"So our idea was, okay, let's try to model this problem using deep learning. So the first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any datasets where we could see people in their context. So we were collecting a lot of images. Some of them were manually downloaded from search engines like Google, and other images came from public datasets that were already labeled with the bounding box of the person. And the images we collected are images like the ones that you see here, so people doing different things in very different situations. And what we did is we created annotation interfaces like this one that I'm showing you here","We used deep learning for this problem but lacked training data. Emotion research focused on faces, so we collected context-rich images from search engines and datasets and created annotation tools",8,82.6,34,2,39
"So our idea was, okay, let's try to model this problem using deep learning. So the first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any datasets where we could see people in their context. So we were collecting a lot of images. Some of them were manually downloaded from search engines like Google, and other images came from public datasets that were already labeled with the bounding box of the person. And the images we collected are images like the ones that you see here, so people doing different things in very different situations. And what we did is we created annotation interfaces like this one that I'm showing you here","Using deep learning, we modeled the issue but lacked data. We collected context-rich images from search engines and datasets and developed annotation interfaces",9,91.8,28,2,30
"So our idea was, okay, let's try to model this problem using deep learning. So the first challenge that we faced, we didn't have any training data, of course, because as we said before, usually all the research on emotion recognition from images was focused on the face, so we didn't have any datasets where we could see people in their context. So we were collecting a lot of images. Some of them were manually downloaded from search engines like Google, and other images came from public datasets that were already labeled with the bounding box of the person. And the images we collected are images like the ones that you see here, so people doing different things in very different situations. And what we did is we created annotation interfaces like this one that I'm showing you here",We used deep learning to model the issue but didn't have data. We collected context-rich images from online search and public datasets and made annotation tools,10,99.3,29,2,27
So where we asked annotators to label what emotion category they thought this person was expressing in this specific situation,We asked annotators to label the emotion category for this situation,1,17.11,10,1,21
We had two different interfaces,We used two interfaces,9,94.87,4,1,5
This is the one of emotion categories,This one is for emotion categories,7,78.9,6,1,9
And we have another one for continuous dimensions,We have another for continuous dimensions,7,79.72,6,1,9
So there are different ways of representing emotions in a machine,Machines can represent emotions in different ways,6,65.79,8,1,14
Categories is one of the most common and emotional dimensions is the other one,Categories and dimensions are common emotion representations,5,56.83,8,1,17
So where we asked annotators to label what emotion category they thought this person was expressing in this specific situation,Annotators were asked to label emotions for this situation,4,39.57,9,1,21
We had two different interfaces,We had two different interfaces for labeling,2,27.23,7,1,10
This is the one of emotion categories,This is the interface for emotion categories,3,36.44,7,1,14
And we have another one for continuous dimensions,We have another interface for continuous dimensions,5,56.24,7,1,15
Maybe it's less popular,It might be less known,9,100,5,1,6
"But the idea of the continuous dimensions is to label according to valence, which is is a dimension that just measures whether someone is feeling something positive or something negative","The continuous dimensions label emotions by valence, measuring if feelings are positive or negative",4,33.2,16,1,27
"A rousal is measuring whether someone is in calm or very ready to act, very agitated",Arousal measures if someone is calm or very agitated,6,71.7,10,1,16
And then dominance that is measuring whether someone is feeling dominated by the situation or the opposite is that someone is feeling in control of the situation,Dominance measures if someone feels dominated or in control,5,52.4,11,1,19
"And then we also collected some demographics of the person in the picture, like the gender or the estimated age","We also collected the person's demographics, like gender and age",5,62.2,11,1,18
"Maybe it's less popular. But the idea of the continuous dimensions is to label according to valence, which is is a dimension that just measures whether someone is feeling something positive or something negative. A rousal is measuring whether someone is in calm or very ready to act, very agitated. And then dominance that is measuring whether someone is feeling dominated by the situation or the opposite is that someone is feeling in control of the situation. And then we also collected some demographics of the person in the picture, like the gender or the estimated age. And we use cloud sourcing for collecting all of these annotations","The idea of continuous dimensions labels emotions by valence (positive or negative), arousal (calm or agitated), and dominance (dominated or in control). Collected demographics include gender and age, using crowdsourcing for annotations",4,28.6,32,2,49
Maybe it's less popular,Maybe it's less popular,9,97,3,1,5
"But the idea of the continuous dimensions is to label according to valence, which is is a dimension that just measures whether someone is feeling something positive or something negative",Valence measures whether feelings are positive or negative,5,54.8,8,1,13
"A rousal is measuring whether someone is in calm or very ready to act, very agitated",Arousal measures if someone is calm or agitated,6,66.4,7,1,12
"And then we also collected some demographics of the person in the picture, like the gender or the estimated age",We gathered demographics like gender and age,6,74.2,7,1,13
"In particular, we use the platform Amazon Mechanical Turk. And after this process, we came up with what we call the emoric data set, which is a collection of these images, 23,000 annotated images, 34,000 annotated people. Because for some images, we have multiple people annotated. I'm going to show you a little bit about the deep learning model that we developed as a baseline to model this problem. So what we did, it's a very simple model. This is the representation of the architecture.","We use Amazon Mechanical Turk to create the emoric data set with 23,000 images and 34,000 annotated people. Some images have multiple people. I’ll show a simple deep learning model we developed. This is its architecture.",9,90.6,38,6,58
"In particular, we use the platform Amazon Mechanical Turk. And after this process, we came up with what we call the emoric data set, which is a collection of these images, 23,000 annotated images, 34,000 annotated people. Because for some images, we have multiple people annotated. I'm going to show you a little bit about the deep learning model that we developed as a baseline to model this problem. So what we did, it's a very simple model. This is the representation of the architecture.","We use Amazon Mechanical Turk and created the emoric data set with 23,000 images and 34,000 people annotated. Some images have multiple people. I will show our deep learning model’s architecture.",8,81.5,35,4,54
"In particular, we use the platform Amazon Mechanical Turk. And after this process, we came up with what we call the emoric data set, which is a collection of these images, 23,000 annotated images, 34,000 annotated people. Because for some images, we have multiple people annotated. I'm going to show you a little bit about the deep learning model that we developed as a baseline to model this problem. So what we did, it's a very simple model. This is the representation of the architecture.","We used Amazon Mechanical Turk to get the emoric data set. It has 23,000 images and 34,000 annotated people with some images having multiple people. I will show our simple deep learning model's architecture.",7,72.1,41,4,62
"In particular, we use the platform Amazon Mechanical Turk. And after this process, we came up with what we call the emoric data set, which is a collection of these images, 23,000 annotated images, 34,000 annotated people. Because for some images, we have multiple people annotated. I'm going to show you a little bit about the deep learning model that we developed as a baseline to model this problem. So what we did, it's a very simple model. This is the representation of the architecture.","Using Amazon Mechanical Turk, we gathered the emoric data set, which contains 23,000 images and 34,000 people, some annotated multiple times. I will introduce our simple deep learning model.",6,64.3,36,3,59
"In particular, we use the platform Amazon Mechanical Turk. And after this process, we came up with what we call the emoric data set, which is a collection of these images, 23,000 annotated images, 34,000 annotated people. Because for some images, we have multiple people annotated. I'm going to show you a little bit about the deep learning model that we developed as a baseline to model this problem. So what we did, it's a very simple model. This is the representation of the architecture.","We use Amazon Mechanical Turk to create the emoric data set with 23,000 images and 34,000 people annotated, as some images have many annotations. I will present our simple deep learning model.",5,54.3,44,4,73
"In particular, we use the platform Amazon Mechanical Turk. And after this process, we came up with what we call the emoric data set, which is a collection of these images, 23,000 annotated images, 34,000 annotated people. Because for some images, we have multiple people annotated. I'm going to show you a little bit about the deep learning model that we developed as a baseline to model this problem. So what we did, it's a very simple model. This is the representation of the architecture.","Using Amazon Mechanical Turk, we collected the emoric data set, containing 23,000 images and 34,000 people annotated, with some images having multiple annotations. I’ll present our simple deep learning model.",4,41.9,45,3,76
"In particular, we use the platform Amazon Mechanical Turk. And after this process, we came up with what we call the emoric data set, which is a collection of these images, 23,000 annotated images, 34,000 annotated people. Because for some images, we have multiple people annotated. I'm going to show you a little bit about the deep learning model that we developed as a baseline to model this problem. So what we did, it's a very simple model. This is the representation of the architecture.","We utilized Amazon Mechanical Turk to generate the emoric data set. This comprises 23,000 images and 34,000 people annotated, with some images containing multiple annotations. I will now demonstrate our fundamental deep learning model.",3,25.9,44,3,77
"In particular, we use the platform Amazon Mechanical Turk. And after this process, we came up with what we call the emoric data set, which is a collection of these images, 23,000 annotated images, 34,000 annotated people. Because for some images, we have multiple people annotated. I'm going to show you a little bit about the deep learning model that we developed as a baseline to model this problem. So what we did, it's a very simple model. This is the representation of the architecture.","By using Amazon Mechanical Turk, we crafted the emoric data set, which incorporates a total of 23,000 images and 34,000 people annotated, as certain images have various annotations. I am going to present to you our elementary deep learning model.",2,20.5,44,3,80
"In particular, we use the platform Amazon Mechanical Turk. And after this process, we came up with what we call the emoric data set, which is a collection of these images, 23,000 annotated images, 34,000 annotated people. Because for some images, we have multiple people annotated. I'm going to show you a little bit about the deep learning model that we developed as a baseline to model this problem. So what we did, it's a very simple model. This is the representation of the architecture.","Using Amazon Mechanical Turk, we produced the emoric data set, which consists of a collection of 23,000 images and 34,000 people annotated. For certain images, we have multiple annotations. I am about to exhibit to you our basic deep learning model.",1,12.8,45,3,81
"So basically, we have as input the image, and we know the location of the target person that we are trying to recognize the emotion of",We input the image and pinpoint the target person's location for emotion recognition,9,94.43,15,1,23
And then we have one module that is extracting person features,"Then, a module extracts features of the person",8,83.27,8,1,14
So it's fully convolutional and we extract features of the bounding box containing the person,"It is fully convolutional, extracting features from the bounding box of the person",5,47.06,13,1,25
And then we have another module which is the context features that takes as an input the whole image and extract also enough using a fully convolutional network features about the context,Another module extracts context features from the entire image using a fully convolutional network,4,35.57,16,1,30
And then we merge these features,"Then, we combine these features",9,94.3,5,1,7
We have one fully connected layer,We use a fully connected layer,9,97.9,6,1,10
"And we separate the recognition of balance, and also land dominance, and the emotion categories. And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data. So these are the type of results that we get. So these are the type of images that we get. This is recognition of anticipation, excitement, engagement, and confidence in this case. This is another example of recognition, pleasure, happiness, and affection in this other picture","We separate recognition of balance, land dominance, and emotion categories, using regression as the loss function. From our experiments, we found it the best way to model data. We get these types of results and images, recognizing anticipation, excitement, engagement, and confidence in one case. Another example shows recognition of pleasure, happiness, and affection",1,14,59,4,89
"And we separate the recognition of balance, and also land dominance, and the emotion categories. And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data. So these are the type of results that we get. So these are the type of images that we get. This is recognition of anticipation, excitement, engagement, and confidence in this case. This is another example of recognition, pleasure, happiness, and affection in this other picture","We use regression to model data for recognizing balance, land dominance, and different emotions. Our experiments showed it's the best method. We get results like anticipation, excitement, engagement, and confidence in one image and pleasure, happiness, and affection in another",2,25,52,3,80
"And we separate the recognition of balance, and also land dominance, and the emotion categories. And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data. So these are the type of results that we get. So these are the type of images that we get. This is recognition of anticipation, excitement, engagement, and confidence in this case. This is another example of recognition, pleasure, happiness, and affection in this other picture","We use regression to model data for recognizing balance, land dominance, and emotions. Our experiments found it most effective. Results include recognizing anticipation, excitement, engagement, and confidence, plus pleasure, happiness, and affection",3,32,48,3,73
"And we separate the recognition of balance, and also land dominance, and the emotion categories. And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data. So these are the type of results that we get. So these are the type of images that we get. This is recognition of anticipation, excitement, engagement, and confidence in this case. This is another example of recognition, pleasure, happiness, and affection in this other picture","We identify balance, land dominance, and emotions using regression after experiments proved it best. We recognize anticipation, excitement, engagement, confidence, pleasure, happiness, and affection in images",4,46,39,3,59
"And we separate the recognition of balance, and also land dominance, and the emotion categories. And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data. So these are the type of results that we get. So these are the type of images that we get. This is recognition of anticipation, excitement, engagement, and confidence in this case. This is another example of recognition, pleasure, happiness, and affection in this other picture","For balance, land dominance, and emotions, we use regression, the best method from experiments. Results include recognizing anticipation, excitement, engagement, confidence, pleasure, happiness, and affection",5,52,38,3,54
"And we separate the recognition of balance, and also land dominance, and the emotion categories. And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data. So these are the type of results that we get. So these are the type of images that we get. This is recognition of anticipation, excitement, engagement, and confidence in this case. This is another example of recognition, pleasure, happiness, and affection in this other picture","For recognizing balance, land dominance, and emotions, we use regression, found best from experiments. We get results like anticipation, excitement, engagement, confidence, pleasure, happiness, and affection",6,63,37,3,52
"And we separate the recognition of balance, and also land dominance, and the emotion categories. And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data. So these are the type of results that we get. So these are the type of images that we get. This is recognition of anticipation, excitement, engagement, and confidence in this case. This is another example of recognition, pleasure, happiness, and affection in this other picture","We use regression to recognize balance, land dominance, and emotions, shown best by experiments. Results include recognizing anticipation, excitement, engagement, confidence, pleasure, happiness, and affection",7,70,35,3,48
"And we separate the recognition of balance, and also land dominance, and the emotion categories. And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data. So these are the type of results that we get. So these are the type of images that we get. This is recognition of anticipation, excitement, engagement, and confidence in this case. This is another example of recognition, pleasure, happiness, and affection in this other picture","We use regression for recognizing balance, land dominance, and emotions using regression, best by our experiments. Our results include anticipation, excitement, engagement, confidence, happiness, and affection",8,72,34,3,46
"And we separate the recognition of balance, and also land dominance, and the emotion categories. And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data. So these are the type of results that we get. So these are the type of images that we get. This is recognition of anticipation, excitement, engagement, and confidence in this case. This is another example of recognition, pleasure, happiness, and affection in this other picture","We use regression for recognizing balance, land dominance, and emotions. Experiments showed it's best. Results include anticipation, excitement, confidence, happiness, and affection in images",9,86,30,3,38
"And we separate the recognition of balance, and also land dominance, and the emotion categories. And the type of loss function that we use is regression, because from our experiments, we saw that it was the best way to model our data. So these are the type of results that we get. So these are the type of images that we get. This is recognition of anticipation, excitement, engagement, and confidence in this case. This is another example of recognition, pleasure, happiness, and affection in this other picture","We use regression to identify balance, land dominance, and emotions. The experiments showed this is best. Results include recognizing anticipation, excitement, confidence, and happiness in pictures",10,95,27,3,32
"Another one pretty challenging that here is, it recognized happiness, the system, but here you don't see the face. So clearly somehow it's extracting some information about the context and the situation. Here another interesting example where for this guy, and the recognition of emotions was like pleasure, affection and happiness, but for the other person, it was like a mess, so it recognized almost everything possible, and so this is showing that not all the information is coming just from the context, but it's the combination of the context and the person which actually creates the output. So the truth is that this system is not working very well, so this is the first attempt in trying to recognize emotions using not just face, but using person and situational context. So this is our first baseline. We are progressing this project in different directions","The system recognized happiness without seeing the face, indicating it uses context. Another example showed it can detect multiple emotions based on both context and the person. However, the system isn't very effective yet. This is the first attempt to recognize emotions using context and person. The project is developing further",1,15.5,58,6,91
"Another one pretty challenging that here is, it recognized happiness, the system, but here you don't see the face. So clearly somehow it's extracting some information about the context and the situation. Here another interesting example where for this guy, and the recognition of emotions was like pleasure, affection and happiness, but for the other person, it was like a mess, so it recognized almost everything possible, and so this is showing that not all the information is coming just from the context, but it's the combination of the context and the person which actually creates the output. So the truth is that this system is not working very well, so this is the first attempt in trying to recognize emotions using not just face, but using person and situational context. So this is our first baseline. We are progressing this project in different directions","The system could identify happiness without seeing the face, using context. In another case, it detected various emotions, using context and the person. The system is not very reliable yet. This is a first attempt to use context and person to recognize emotions. The project continues",2,25.2,52,6,79
"Another one pretty challenging that here is, it recognized happiness, the system, but here you don't see the face. So clearly somehow it's extracting some information about the context and the situation. Here another interesting example where for this guy, and the recognition of emotions was like pleasure, affection and happiness, but for the other person, it was like a mess, so it recognized almost everything possible, and so this is showing that not all the information is coming just from the context, but it's the combination of the context and the person which actually creates the output. So the truth is that this system is not working very well, so this is the first attempt in trying to recognize emotions using not just face, but using person and situational context. So this is our first baseline. We are progressing this project in different directions","The system recognized happiness without seeing the face, implying it uses context. In another case, it identified various emotions, combining context and the person. However, the system is not very effective yet. This is its first attempt to use both context and person for emotion recognition, and the project is ongoing",3,36.0,58,6,88
"Another one pretty challenging that here is, it recognized happiness, the system, but here you don't see the face. So clearly somehow it's extracting some information about the context and the situation. Here another interesting example where for this guy, and the recognition of emotions was like pleasure, affection and happiness, but for the other person, it was like a mess, so it recognized almost everything possible, and so this is showing that not all the information is coming just from the context, but it's the combination of the context and the person which actually creates the output. So the truth is that this system is not working very well, so this is the first attempt in trying to recognize emotions using not just face, but using person and situational context. So this is our first baseline. We are progressing this project in different directions","The system recognized happiness without seeing the face, hinting it uses context. It identified various emotions using both context and the person. The system is not very effective yet. This is its first attempt to combine context and person for emotion recognition. The project is ongoing",4,40.3,56,6,84
"Another one pretty challenging that here is, it recognized happiness, the system, but here you don't see the face. So clearly somehow it's extracting some information about the context and the situation. Here another interesting example where for this guy, and the recognition of emotions was like pleasure, affection and happiness, but for the other person, it was like a mess, so it recognized almost everything possible, and so this is showing that not all the information is coming just from the context, but it's the combination of the context and the person which actually creates the output. So the truth is that this system is not working very well, so this is the first attempt in trying to recognize emotions using not just face, but using person and situational context. So this is our first baseline. We are progressing this project in different directions","The system recognized happiness without seeing the face, indicating it uses context. In another instance, it identified various emotions using context and the person, but it is not very effective yet. This is its first attempt combining context and person for emotion recognition and the project is developing",5,51.2,55,5,81
"Another one pretty challenging that here is, it recognized happiness, the system, but here you don't see the face. So clearly somehow it's extracting some information about the context and the situation. Here another interesting example where for this guy, and the recognition of emotions was like pleasure, affection and happiness, but for the other person, it was like a mess, so it recognized almost everything possible, and so this is showing that not all the information is coming just from the context, but it's the combination of the context and the person which actually creates the output. So the truth is that this system is not working very well, so this is the first attempt in trying to recognize emotions using not just face, but using person and situational context. So this is our first baseline. We are progressing this project in different directions","The system recognized happiness without seeing the face, so it uses context. Another case showed it identifies many emotions using both context and person. The system is not very effective yet. This is its first attempt at combining context and person for emotion recognition, and the project is developing",6,60.5,53,5,72
"Another one pretty challenging that here is, it recognized happiness, the system, but here you don't see the face. So clearly somehow it's extracting some information about the context and the situation. Here another interesting example where for this guy, and the recognition of emotions was like pleasure, affection and happiness, but for the other person, it was like a mess, so it recognized almost everything possible, and so this is showing that not all the information is coming just from the context, but it's the combination of the context and the person which actually creates the output. So the truth is that this system is not working very well, so this is the first attempt in trying to recognize emotions using not just face, but using person and situational context. So this is our first baseline. We are progressing this project in different directions","The system recognized happiness without seeing the face, hinting it uses context. Another case showed it can detect emotions by combining context and person. The system still needs improvement. This is its first attempt at using context and person for emotions, and the project continues",7,71.6,52,5,67
"Another one pretty challenging that here is, it recognized happiness, the system, but here you don't see the face. So clearly somehow it's extracting some information about the context and the situation. Here another interesting example where for this guy, and the recognition of emotions was like pleasure, affection and happiness, but for the other person, it was like a mess, so it recognized almost everything possible, and so this is showing that not all the information is coming just from the context, but it's the combination of the context and the person which actually creates the output. So the truth is that this system is not working very well, so this is the first attempt in trying to recognize emotions using not just face, but using person and situational context. So this is our first baseline. We are progressing this project in different directions","The system recognized happiness without seeing the face, indicating it uses context. Another case showed it can detect emotions by combining context and person. The system needs improvement. This is its first attempt at using context and person for emotions. The project continues",8,82.1,51,5,63
"Another one pretty challenging that here is, it recognized happiness, the system, but here you don't see the face. So clearly somehow it's extracting some information about the context and the situation. Here another interesting example where for this guy, and the recognition of emotions was like pleasure, affection and happiness, but for the other person, it was like a mess, so it recognized almost everything possible, and so this is showing that not all the information is coming just from the context, but it's the combination of the context and the person which actually creates the output. So the truth is that this system is not working very well, so this is the first attempt in trying to recognize emotions using not just face, but using person and situational context. So this is our first baseline. We are progressing this project in different directions","The system recognized happiness without seeing the face, so it uses context. Another case showed it can detect emotions by combining context and person. The system still needs work. This is its first attempt at using context and person for emotions, and the project continues",9,91.8,50,5,60
"So the Red House restaurant is a restaurant in Cambridge, Massachusetts in USA. So if you go to this restaurant and you never went to this restaurant and you want to know how this restaurant works, so you Google this restaurant and you get all of these reviews. So this is one example of a review of the Red House restaurant. Okay, so let's focus in a piece of this review. review. So here it says, what's a delight, terrific menu, great craft, cocktails, unpretentious atmosphere of mostly locals and college professors chatting over dinner","The Red House restaurant is in Cambridge, Massachusetts. If you've never been and want to know more, you can search for reviews online. One review says it's delightful with a great menu, craft cocktails, and an unpretentious atmosphere frequented by locals and college professors",1,17,61,3,91
"So the Red House restaurant is a restaurant in Cambridge, Massachusetts in USA. So if you go to this restaurant and you never went to this restaurant and you want to know how this restaurant works, so you Google this restaurant and you get all of these reviews. So this is one example of a review of the Red House restaurant. Okay, so let's focus in a piece of this review. review. So here it says, what's a delight, terrific menu, great craft, cocktails, unpretentious atmosphere of mostly locals and college professors chatting over dinner","The Red House in Cambridge, MA, has great reviews. If you check online, one review mentions a delightful spot with a terrific menu, craft cocktails, and a relaxed vibe with locals and college professors",2,23,45,2,69
"So the Red House restaurant is a restaurant in Cambridge, Massachusetts in USA. So if you go to this restaurant and you never went to this restaurant and you want to know how this restaurant works, so you Google this restaurant and you get all of these reviews. So this is one example of a review of the Red House restaurant. Okay, so let's focus in a piece of this review. review. So here it says, what's a delight, terrific menu, great craft, cocktails, unpretentious atmosphere of mostly locals and college professors chatting over dinner","The Red House in Cambridge, MA, is well-reviewed. An online review praises its menu, craft cocktails, and a casual setting with locals and college professors",3,33,33,2,49
